sid_total	session_id_total	ip_total	area	origin_channel	grouptype	time_type	year	quarter	month	day	hour
10	10	10	中国 宁夏 银川		1	3	2019	3	07		
4	4	2	中国 四川 达州		1	3	2019	3	07		
6	6	6	中国 湖北 荆州		1	3	2019	3	07		
4	4	3	中国 陕西 安康		1	3	2019	3	07		
3	3	3	中国 山西 晋城		1	3	2019	3	07		
5	5	5	中国 山西 忻州		1	3	2019	3	07		
1	1	1	中国 宁夏 吴忠		1	3	2019	3	07		
8	8	7	中国 广西 桂林		1	3	2019	3	07		
12	12	12	中国 河南 新乡		1	3	2019	3	07		
1	1	1	中国 湖北 十堰		1	3	2019	3	07		
7	7	7	中国 河北 唐山		1	3	2019	3	07		
4	4	4	中国 湖北 仙桃		1	3	2019	3	07		
10	10	10	中国 山东 泰安		1	3	2019	3	07		
1	1	1	中国 四川 泸州		1	3	2019	3	07		
8	8	8	中国 吉林		1	3	2019	3	07		
1	1	1	中国 四川 内江		1	3	2019	3	07		
1	1	1	中国 海南 儋州		1	3	2019	3	07		
101	101	100		百度竞价	2	1	2019	3	07	25	13
2	2	2		百度竞价	2	1	2019	3	07	25	08
8	8	8	中国 河北 秦皇岛		1	5	2019				
30	30	29	中国 四川		1	5	2019				
51	51	48	中国 湖南		1	5	2019				
80	80	76	中国 浙江 杭州		1	4	2019	3			
17	17	17	中国 陕西		1	4	2019	3			
4	4	4	中国 湖南 岳阳		1	4	2019	3			
8	8	8	中国 海南		1	4	2019	3			
16	16	15	中国 河北 廊坊		1	4	2019	3			
21	21	21	中国 河北 邯郸		1	4	2019	3			
21	21	20	中国 河北 石家庄		1	4	2019	3			
1	1	1	中国 甘肃 临夏回族自治州		1	4	2019	3			
5	5	5	中国 江西 上饶		1	4	2019	3			
8	8	8	中国 河南 漯河		1	4	2019	3			
1	1	1	新加坡 新加坡		1	4	2019	3			
14	14	14	中国 黑龙江		1	4	2019	3			
2	2	2	中国 辽宁 铁岭		1	4	2019	3			
7	7	7	中国 浙江 嘉兴		1	4	2019	3			
1	1	1	奥地利 奥地利		1	4	2019	3			
1	1	1	中国 内蒙古 锡林郭勒盟		1	4	2019	3			
1	1	1	中国 安徽 淮南		1	4	2019	3			
3	3	3	中国 山东 莱芜		1	4	2019	3			
1	1	1	中国 四川 阿坝藏族羌族自治州		1	4	2019	3			
3	3	3	中国 福建 宁德		1	4	2019	3			
132	132	125	中国 广东 广州		1	4	2019	3			
18	18	17	中国 广东 中山		1	4	2019	3			
3	3	3	中国 甘肃 庆阳		1	4	2019	3			
7	7	7	中国 山东 菏泽		1	4	2019	3			
3	3	3	中国 湖南 邵阳		1	4	2019	3			
5	5	4	中国 山东 济宁		1	4	2019	3			
4	4	2	中国 四川 达州		1	4	2019	3			
1	1	1	中国 海南 保亭黎族苗族自治县		1	4	2019	3			
6	7	4	中国 山西 吕梁		1	4	2019	3			
7	7	7	中国 浙江 嘉兴		1	2	2019	3	07	01	
2	2	2	中国 湖南 益阳		1	4	2019	3			
4	4	4	中国 云南 红河哈尼族彝族自治州		1	4	2019	3			
61	61	58	中国 重庆 重庆		1	4	2019	3			
6	6	6	中国 陕西 咸阳		1	4	2019	3			
1	1	1	中国 湖北 十堰		1	4	2019	3			
5	5	5	中国 甘肃 兰州		1	4	2019	3			
2	2	2	中国 山东 聊城		1	4	2019	3			
3	3	3	中国 湖南 张家界		1	4	2019	3			
3	3	3	中国 山西 晋城		1	4	2019	3			
8	8	8	中国 吉林		1	4	2019	3			
2	2	2	中国 香港		1	4	2019	3			
2	2	2	中国 湖北 襄阳		1	4	2019	3			
1	1	1	中国 湖北 鄂州		1	4	2019	3			
29	29	28	中国 河北		1	4	2019	3			
6	6	4	中国 山东 东营		1	4	2019	3			
9	9	9	中国 河南 商丘		1	4	2019	3			
48	48	45	中国 陕西 西安		1	4	2019	3			
3	3	2	中国 安徽 池州		1	4	2019	3			
1	1	1	中国 四川 内江		1	4	2019	3			
2	2	2	中国 四川 巴中		1	4	2019	3			
4	4	4	中国 四川 资阳		1	4	2019	3			
1	1	1	菲律宾 菲律宾		1	4	2019	3			
9	9	8	中国 河南 南阳		1	4	2019	3			
6	6	5	中国 安徽 滁州		1	4	2019	3			
4	4	4	中国 辽宁 辽阳		1	4	2019	3			
3	3	3	中国 四川 乐山		1	4	2019	3			
5	5	4	中国 广西 贵港		1	4	2019	3			
1	1	1	中国 青海		1	4	2019	3			
265	265	261			3	2	2019	3	07	01	11
285	285	272			3	2	2019	3	07	01	14
1	1	1			3	2	2019	3	07	01	06
9	9	9			3	2	2019	3	07	01	07
265	265	261			3	2	2019	3	07	25	11
207	208	199			3	2	2019	3	07	01	22
251	251	241			3	2	2019	3	07	01	18
216	216	209			3	2	2019	3	07	25	09
51	51	48			3	2	2019	3	07	25	08
11	11	10	中国 山东 淄博		1	2	2019	3	07	01	
251	251	241			3	2	2019	3	07	25	18
213	213	208			3	2	2019	3	07	25	12
9	9	9			3	2	2019	3	07	25	07
309	309	300			3	2	2019	3	07	25	16
226	226	220			3	2	2019	3	07	01	19
51	51	48			3	2	2019	3	07	01	08
247	247	234			3	2	2019	3	07	01	17
242	243	234			3	2	2019	3	07	01	20
10	10	10	中国 山东 泰安		1	2	2019	3	07	25	
42	42	40			3	2	2019	3	07	25	23
285	285	272			3	2	2019	3	07	25	14
6	7	6			3	2	2019	3	07	25	00
263	263	252			3	2	2019	3	07	01	21
263	263	252			3	2	2019	3	07	25	21
207	208	199			3	2	2019	3	07	25	22
259	259	245			3	2	2019	3	07	25	10
223	224	210			3	2	2019	3	07	25	13
216	216	209			3	2	2019	3	07	01	09
6	7	6			3	2	2019	3	07	01	00
1	1	1	中国 海南 保亭黎族苗族自治县		1	2	2019	3	07	01	
310	310	298			3	2	2019	3	07	25	15
1	1	1			3	2	2019	3	07	25	06
42	42	40			3	2	2019	3	07	01	23
2	2	2	中国 贵州 铜仁		1	2	2019	3	07	01	
310	310	298			3	2	2019	3	07	01	15
247	247	234			3	2	2019	3	07	25	17
8	8	8	中国 重庆 重庆		1	1	2019	3	07	01	15
4	4	3	中国 江苏 南京		1	1	2019	3	07	25	19
3	3	3	中国 贵州		1	1	2019	3	07	25	20
3	3	3	中国 广东 珠海		1	1	2019	3	07	01	11
1	1	1	中国 内蒙古 呼和浩特		1	1	2019	3	07	25	22
16	16	15	中国 广东 广州		1	1	2019	3	07	01	15
7	7	7	中国 北京 北京		1	1	2019	3	07	25	08
1	1	1	中国 云南 普洱		1	1	2019	3	07	25	21
3	3	3	中国 江西		1	1	2019	3	07	25	18
